id,Institution Name,
965,University of Engineering & Technology (UET) Lahore,
966,University of Gdansk,
967,University of Kufa,
968,University of Kwazulu-Natal,
969,University of Latvia,
970,University of Lincoln,
971,University of Lodz,
972,University of Malaysia Sabah (UMS),
973,University of Mississippi,
974,University of Montana Missoula,
975,University of Mumbai,
976,University of New England,
977,University of New Hampshire,
978,University of Ostrava,
979,University of Parma,
980,University of Peradeniya,
981,University of Salford,
982,University of San Diego,
983,University of San Francisco,
984,University of Santo Tomas,
985,University of Silesia,
986,University of the Pacific,
987,University of the Punjab,
988,University of the Western Cape,
989,University of Wroclaw,
990,University Toulouse � Jean Jaur�s,
991,Utah State University,
992,Vellore Institute of Technology (VIT),
993,Verona University,
994,"Vietnam National University, Hanoi",
995,Voronezh State University,
996,Vytautas Magnus University,
997,Warsaw University of Life Sciences,
998,Wroc?aw University of Science and Technology,
999,Wuhan University of Technology,
1000,Xi'an Jiaotong-Liverpool University,
1001,Yeungnam University,
1002,Baylor College of Medicine,
1003,BI Norwegian Business School,
1004,Central European University,
1005,Copenhagen Business School,
1006,Cranfield University,
1007,ESCP Europe,
1008,"ESSEC Business School, Paris",
1009,"Grenoble INP, Grenoble Institute of Technology",
1010,HEC Paris,
1011,INSEAD (France),
1012,Jawaharlal Nehru University,
1013,Karolinska Institute,
1014,King Abdullah University of Science & Technology (KAUST),
1015,London Business School,
1016,Stockholm School of Economics,
1017,Universit� Commerciale Luigi Bocconi,
1018,"Universit� de Technologie, Compi�gne (UTC)",
1019,Universit� Sorbonne Nouvelle Paris 3,
1020,"University of California, San Francisco (UCSF)",
1021,"University of Economics, Prague",
1022,Weizmann Institute of Science,
1023,WHU Otto Beisheim School of Management - Koblenz,
